answer_id,question,corpus_id,config_id,mode,id,source_id,title,section,section_heading,article_type,year,population_or_model,source_url,source_version,passage_index,start_in_passage,end_in_passage,bioc_offset,license,language,exact_text,review_status
e4df1784-2b2a-4fef-97af-63c7c6806346,"Where does the 2022 review locate PHOX2B, and how many exons does it describe?",a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,34eb0046447ecbd8207ae014c3dde940916e660dccea8cc9f979c09593dc539f,llm,PMC7503443:a26671042513feb5:170:0:156,PMC7503443,Guidelines for diagnosis and management of congenital central hypoventilation syndrome,DISCUSS,Research questions,review/guideline,2020,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503443/,a26671042513feb5430e045a2785bfd01686b4e3844ac4ec2481c6a45d84bb4b,170,0,156,67869,"Open AccessThis article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated in a credit line to the data.",en,"Improving knowledge of PHOX2B biology: what are its target genes, how its expression is regulated, when and in which cells it functions and to do what, etc.",PENDING_REVIEW
e4df1784-2b2a-4fef-97af-63c7c6806346,"Where does the 2022 review locate PHOX2B, and how many exons does it describe?",a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,34eb0046447ecbd8207ae014c3dde940916e660dccea8cc9f979c09593dc539f,llm,PMC8963195:f6c8a0a4968ccaf4:64:600:1350,PMC8963195,Congenital Central Hypoventilation Syndrome: Optimizing Care with a Multidisciplinary Approach,INTRO,Genetics Management,review,2022,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC8963195/,f6c8a0a4968ccaf484d644ea3a6dee688690e0a1876895c0cef70e90d6ec4fde,64,600,1350,44741,"This work is published and licensed by Dove Medical Press Limited. The full terms of this license are available at https://www.dovepress.com/terms.php and incorporate the Creative Commons Attribution – Non Commercial (unported, v3.0) License (http://creativecommons.org/licenses/by-nc/3.0/). By accessing the work you hereby accept the Terms. Non-commercial uses of the work are permitted without any further permission from Dove Medical Press Limited, provided the work is properly attributed. For permission for commercial use of this work, please see paragraphs 4.2 and 5 of our Terms (https://www.dovepress.com/terms.php).",en,"duplication, and mosaicism detection. Thus, when ordering molecular testing of PHOX2B, it is important to know this limitation and communicate with the lab regarding test strategies to identify PARMs, NPARMs, and copy number variants. CCHS is an autosomal dominant inherited condition. Although in most cases, variants in PHOX2B occur de novo, some were reported to be inherited from one of the parents. So targeted molecular testing for the familial variants in PHOX2B is recommended for both parents of the affected child. Notably, up to 10–25% of affected individuals have an asymptomatic parent mosaic for the familial PHOX2B variant. Relatively asymptomatic parents with PHOX2B variants can manifest symptoms later in life and require periodic e",PENDING_REVIEW
e4df1784-2b2a-4fef-97af-63c7c6806346,"Where does the 2022 review locate PHOX2B, and how many exons does it describe?",a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,34eb0046447ecbd8207ae014c3dde940916e660dccea8cc9f979c09593dc539f,llm,PMC8963195:f6c8a0a4968ccaf4:64:1200:1402,PMC8963195,Congenital Central Hypoventilation Syndrome: Optimizing Care with a Multidisciplinary Approach,INTRO,Genetics Management,review,2022,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC8963195/,f6c8a0a4968ccaf484d644ea3a6dee688690e0a1876895c0cef70e90d6ec4fde,64,1200,1402,44741,"This work is published and licensed by Dove Medical Press Limited. The full terms of this license are available at https://www.dovepress.com/terms.php and incorporate the Creative Commons Attribution – Non Commercial (unported, v3.0) License (http://creativecommons.org/licenses/by-nc/3.0/). By accessing the work you hereby accept the Terms. Non-commercial uses of the work are permitted without any further permission from Dove Medical Press Limited, provided the work is properly attributed. For permission for commercial use of this work, please see paragraphs 4.2 and 5 of our Terms (https://www.dovepress.com/terms.php).",en,osaic for the familial PHOX2B variant. Relatively asymptomatic parents with PHOX2B variants can manifest symptoms later in life and require periodic evaluations for respiratory and cardiac disturbances.,PENDING_REVIEW
e4df1784-2b2a-4fef-97af-63c7c6806346,"Where does the 2022 review locate PHOX2B, and how many exons does it describe?",a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,34eb0046447ecbd8207ae014c3dde940916e660dccea8cc9f979c09593dc539f,llm,PMC8039127:b4a7750cb1b5b1d0:63:0:169,PMC8039127,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,DISCUSS,Discussion,primary study,2021,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,63,0,169,22517,"This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.",en,"In addition, the CCHS is characterized by (ANSD). It has been verified that there is a relationship between the number of PARMS in PHOX2B gene and the phenotype of ANSD.",PENDING_REVIEW
e4df1784-2b2a-4fef-97af-63c7c6806346,"Where does the 2022 review locate PHOX2B, and how many exons does it describe?",a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,34eb0046447ecbd8207ae014c3dde940916e660dccea8cc9f979c09593dc539f,llm,PMC8963195:f6c8a0a4968ccaf4:10:0:750,PMC8963195,Congenital Central Hypoventilation Syndrome: Optimizing Care with a Multidisciplinary Approach,INTRO,Genetics,review,2022,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC8963195/,f6c8a0a4968ccaf484d644ea3a6dee688690e0a1876895c0cef70e90d6ec4fde,10,0,750,5849,"This work is published and licensed by Dove Medical Press Limited. The full terms of this license are available at https://www.dovepress.com/terms.php and incorporate the Creative Commons Attribution – Non Commercial (unported, v3.0) License (http://creativecommons.org/licenses/by-nc/3.0/). By accessing the work you hereby accept the Terms. Non-commercial uses of the work are permitted without any further permission from Dove Medical Press Limited, provided the work is properly attributed. For permission for commercial use of this work, please see paragraphs 4.2 and 5 of our Terms (https://www.dovepress.com/terms.php).",en,"CCHS is caused by monoallelic pathogenic variants in the PHOX2B gene that encodes a transcription factor, the paired-like homeobox 2B protein, that plays a role in the early development of the ANS. The PHOX2B gene is located in chromosome 4p12 and has 3 exons that code for 314 amino acids. The largest exon 3 normally contains a repeat sequence code for 20 alanines. There are 2 types of mutations in PHOX2B causing CCHS: polyalanine repeat mutations (PARMs) and nonpolyalanine repeat mutations (NPARMs). PARMs refer to expansion in the polyalanine repeat region in exon 3 and account for 90% of CCHS cases. In patients with PARMs, the normal 20-alanine tract is expanded to 24–33 alanine repeats with resultant genotypes of 20/24 – 20/33. The most ",PENDING_REVIEW
e4df1784-2b2a-4fef-97af-63c7c6806346,"Where does the 2022 review locate PHOX2B, and how many exons does it describe?",a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,34eb0046447ecbd8207ae014c3dde940916e660dccea8cc9f979c09593dc539f,llm,PMC7503443:a26671042513feb5:322:0:97,PMC7503443,Guidelines for diagnosis and management of congenital central hypoventilation syndrome,METHODS,Ethics approval and consent to participate,review/guideline,2020,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503443/,a26671042513feb5430e045a2785bfd01686b4e3844ac4ec2481c6a45d84bb4b,322,0,97,83979,"Open AccessThis article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated in a credit line to the data.",en,"This review paper does not contain data involving human participants, human data or human tissue.",PENDING_REVIEW
e4df1784-2b2a-4fef-97af-63c7c6806346,"Where does the 2022 review locate PHOX2B, and how many exons does it describe?",a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,34eb0046447ecbd8207ae014c3dde940916e660dccea8cc9f979c09593dc539f,llm,PMC8039127:b4a7750cb1b5b1d0:16:0:228,PMC8039127,How the Management of Children With Congenital Central Hypoventilation Syndrome Has Changed Over Time: Two Decades of Experience From an Italian Center,INTRO,Introduction,primary study,2021,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC8039127/,b4a7750cb1b5b1d0bf4fd7759cea1247f250f6d6c1fa61af456a4906e5455a3f,16,0,228,4737,"This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.",en,"As CCHS does not resolve spontaneously, chronic ventilator support via tracheostomy, non-invasive ventilation, negative-pressure ventilation, or diaphragm pacing are considered as possible therapeutic options for these patients.",PENDING_REVIEW
e4df1784-2b2a-4fef-97af-63c7c6806346,"Where does the 2022 review locate PHOX2B, and how many exons does it describe?",a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,34eb0046447ecbd8207ae014c3dde940916e660dccea8cc9f979c09593dc539f,llm,PMC8963195:f6c8a0a4968ccaf4:64:0:750,PMC8963195,Congenital Central Hypoventilation Syndrome: Optimizing Care with a Multidisciplinary Approach,INTRO,Genetics Management,review,2022,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC8963195/,f6c8a0a4968ccaf484d644ea3a6dee688690e0a1876895c0cef70e90d6ec4fde,64,0,750,44741,"This work is published and licensed by Dove Medical Press Limited. The full terms of this license are available at https://www.dovepress.com/terms.php and incorporate the Creative Commons Attribution – Non Commercial (unported, v3.0) License (http://creativecommons.org/licenses/by-nc/3.0/). By accessing the work you hereby accept the Terms. Non-commercial uses of the work are permitted without any further permission from Dove Medical Press Limited, provided the work is properly attributed. For permission for commercial use of this work, please see paragraphs 4.2 and 5 of our Terms (https://www.dovepress.com/terms.php).",en,"Identifying a pathogenic variant in PHOX2B not only confirms the diagnosis of CCHS, but also aids in predicting the clinical severity and disease manifestations, provides guidance for surveillance evaluations, and facilitates molecular testing of at-risk family members. Currently, most molecular diagnostic labs use short-read next generation sequencing (NGS)-based assays for genetic testing, including gene panel testing or exome sequencing. However, this technology alone cannot detect polyalanine repeat expansions of PARMs that cause the majority of CCHS, and it is not sensitive for deletion, duplication, and mosaicism detection. Thus, when ordering molecular testing of PHOX2B, it is important to know this limitation and communicate with th",PENDING_REVIEW
e4df1784-2b2a-4fef-97af-63c7c6806346,"Where does the 2022 review locate PHOX2B, and how many exons does it describe?",a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,34eb0046447ecbd8207ae014c3dde940916e660dccea8cc9f979c09593dc539f,llm,PMC7503443:a26671042513feb5:177:0:48,PMC7503443,Guidelines for diagnosis and management of congenital central hypoventilation syndrome,DISCUSS,Research questions,review/guideline,2020,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503443/,a26671042513feb5430e045a2785bfd01686b4e3844ac4ec2481c6a45d84bb4b,177,0,48,68584,"Open AccessThis article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated in a credit line to the data.",en,How to help young adults become more independent,PENDING_REVIEW
e4df1784-2b2a-4fef-97af-63c7c6806346,"Where does the 2022 review locate PHOX2B, and how many exons does it describe?",a06955ab5c7a4f9c2d48213fae09980fe2628661f8ec5857527fe38d918dc7d0,34eb0046447ecbd8207ae014c3dde940916e660dccea8cc9f979c09593dc539f,llm,PMC7503443:a26671042513feb5:194:0:58,PMC7503443,Guidelines for diagnosis and management of congenital central hypoventilation syndrome,CONCL,Statements for diagnosis,review/guideline,2020,unknown,https://pmc.ncbi.nlm.nih.gov/articles/PMC7503443/,a26671042513feb5430e045a2785bfd01686b4e3844ac4ec2481c6a45d84bb4b,194,0,58,74431,"Open AccessThis article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made. The images or other third party material in this article are included in the article's Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article's Creative Commons licence and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this licence, visit http://creativecommons.org/licenses/by/4.0/. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated in a credit line to the data.",en,Mutations of PHOX2B are found in 90% of patients with CCHS,PENDING_REVIEW
